STATION,DATE,DLY-TAVG-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL
USC00081306,1900-04-01,75.7,82.3,69.1
USC00081306,1900-04-02,75.8,82.4,69.3
USC00081306,1900-04-03,76.0,82.5,69.4
USC00081306,1900-04-04,76.1,82.7,69.6
USC00081306,1900-04-05,76.3,82.8,69.8
USC00081306,1900-04-06,76.4,82.9,70.0
USC00081306,1900-04-07,76.6,83.0,70.2
USC00081306,1900-04-08,76.7,83.1,70.3
USC00081306,1900-04-09,76.9,83.2,70.5
USC00081306,1900-04-10,77.0,83.3,70.7
USC00081306,1900-04-11,77.1,83.4,70.9
USC00081306,1900-04-12,77.3,83.5,71.0
USC00081306,1900-04-13,77.4,83.6,71.2
USC00081306,1900-04-14,77.6,83.7,71.4
USC00081306,1900-04-15,77.7,83.8,71.6
USC00081306,1900-04-16,77.8,83.9,71.7
USC00081306,1900-04-17,77.9,84.0,71.9
USC00081306,1900-04-18,78.1,84.1,72.0
USC00081306,1900-04-19,78.2,84.2,72.2
USC00081306,1900-04-20,78.3,84.3,72.3
USC00081306,1900-04-21,78.4,84.4,72.5
USC00081306,1900-04-22,78.5,84.4,72.6
USC00081306,1900-04-23,78.6,84.5,72.7
USC00081306,1900-04-24,78.7,84.6,72.8
USC00081306,1900-04-25,78.8,84.7,73.0
USC00081306,1900-04-26,78.9,84.8,73.1
USC00081306,1900-04-27,79.0,84.8,73.2
USC00081306,1900-04-28,79.1,84.9,73.3
USC00081306,1900-04-29,79.2,85.0,73.4
USC00081306,1900-04-30,79.3,85.1,73.5
USC00081306,1900-08-01,85.2,91.2,79.2
USC00081306,1900-08-02,85.2,91.2,79.2
USC00081306,1900-08-03,85.2,91.3,79.2
USC00081306,1900-08-04,85.3,91.3,79.2
USC00081306,1900-08-05,85.3,91.3,79.3
USC00081306,1900-08-06,85.3,91.4,79.3
USC00081306,1900-08-07,85.4,91.4,79.3
USC00081306,1900-08-08,85.4,91.4,79.3
USC00081306,1900-08-09,85.4,91.4,79.4
USC00081306,1900-08-10,85.4,91.5,79.4
USC00081306,1900-08-11,85.4,91.5,79.4
USC00081306,1900-08-12,85.5,91.5,79.4
USC00081306,1900-08-13,85.5,91.5,79.5
USC00081306,1900-08-14,85.5,91.5,79.5
USC00081306,1900-08-15,85.5,91.5,79.5
USC00081306,1900-08-16,85.5,91.5,79.5
USC00081306,1900-08-17,85.5,91.5,79.5
USC00081306,1900-08-18,85.5,91.5,79.5
USC00081306,1900-08-19,85.5,91.5,79.5
USC00081306,1900-08-20,85.5,91.5,79.5
USC00081306,1900-08-21,85.5,91.5,79.5
USC00081306,1900-08-22,85.5,91.5,79.5
USC00081306,1900-08-23,85.5,91.4,79.5
USC00081306,1900-08-24,85.5,91.4,79.5
USC00081306,1900-08-25,85.4,91.4,79.5
USC00081306,1900-08-26,85.4,91.4,79.5
USC00081306,1900-08-27,85.4,91.3,79.4
USC00081306,1900-08-28,85.4,91.3,79.4
USC00081306,1900-08-29,85.3,91.3,79.4
USC00081306,1900-08-30,85.3,91.2,79.4
USC00081306,1900-08-31,85.3,91.2,79.3
USC00081306,1900-12-01,74.7,81.1,68.2
USC00081306,1900-12-02,74.5,81.0,68.1
USC00081306,1900-12-03,74.4,80.9,67.9
USC00081306,1900-12-04,74.3,80.8,67.8
USC00081306,1900-12-05,74.2,80.8,67.7
USC00081306,1900-12-06,74.1,80.7,67.5
USC00081306,1900-12-07,74.0,80.6,67.4
USC00081306,1900-12-08,73.9,80.5,67.2
USC00081306,1900-12-09,73.8,80.4,67.1
USC00081306,1900-12-10,73.6,80.3,67.0
USC00081306,1900-12-11,73.5,80.2,66.8
USC00081306,1900-12-12,73.4,80.1,66.7
USC00081306,1900-12-13,73.3,80.0,66.5
USC00081306,1900-12-14,73.1,79.9,66.3
USC00081306,1900-12-15,73.0,79.9,66.2
USC00081306,1900-12-16,72.9,79.8,66.0
USC00081306,1900-12-17,72.8,79.6,65.9
USC00081306,1900-12-18,72.6,79.5,65.7
USC00081306,1900-12-19,72.5,79.4,65.6
USC00081306,1900-12-20,72.4,79.3,65.4
USC00081306,1900-12-21,72.2,79.2,65.2
USC00081306,1900-12-22,72.1,79.1,65.1
USC00081306,1900-12-23,72.0,79.0,64.9
USC00081306,1900-12-24,71.8,78.9,64.8
USC00081306,1900-12-25,71.7,78.8,64.6
USC00081306,1900-12-26,71.6,78.7,64.4
USC00081306,1900-12-27,71.4,78.6,64.3
USC00081306,1900-12-28,71.3,78.5,64.1
USC00081306,1900-12-29,71.2,78.4,64.0
USC00081306,1900-12-30,71.1,78.3,63.8
USC00081306,1900-12-31,70.9,78.2,63.7
USC00081306,1900-02-01,70.6,77.9,63.4
USC00081306,1900-02-02,70.7,77.9,63.5
USC00081306,1900-02-03,70.8,78.0,63.6
USC00081306,1900-02-04,70.9,78.1,63.7
USC00081306,1900-02-05,71.0,78.2,63.9
USC00081306,1900-02-06,71.1,78.3,64.0
USC00081306,1900-02-07,71.2,78.3,64.1
USC00081306,1900-02-08,71.3,78.4,64.2
USC00081306,1900-02-09,71.4,78.5,64.3
USC00081306,1900-02-10,71.5,78.6,64.4
USC00081306,1900-02-11,71.6,78.7,64.5
USC00081306,1900-02-12,71.7,78.7,64.6
USC00081306,1900-02-13,71.8,78.8,64.8
USC00081306,1900-02-14,71.9,78.9,64.9
USC00081306,1900-02-15,72.0,79.0,64.9
USC00081306,1900-02-16,72.0,79.1,65.0
USC00081306,1900-02-17,72.1,79.1,65.1
USC00081306,1900-02-18,72.2,79.2,65.2
USC00081306,1900-02-19,72.3,79.3,65.3
USC00081306,1900-02-20,72.4,79.3,65.4
USC00081306,1900-02-21,72.4,79.4,65.5
USC00081306,1900-02-22,72.5,79.5,65.5
USC00081306,1900-02-23,72.6,79.5,65.6
USC00081306,1900-02-24,72.6,79.6,65.7
USC00081306,1900-02-25,72.7,79.6,65.7
USC00081306,1900-02-26,72.7,79.7,65.8
USC00081306,1900-02-27,72.8,79.8,65.8
USC00081306,1900-02-28,72.9,79.8,65.9
USC00081306,1900-01-01,70.8,78.1,63.6
USC00081306,1900-01-02,70.7,78.0,63.4
USC00081306,1900-01-03,70.6,77.9,63.3
USC00081306,1900-01-04,70.5,77.8,63.2
USC00081306,1900-01-05,70.4,77.7,63.1
USC00081306,1900-01-06,70.3,77.7,63.0
USC00081306,1900-01-07,70.2,77.6,62.9
USC00081306,1900-01-08,70.2,77.5,62.8
USC00081306,1900-01-09,70.1,77.5,62.7
USC00081306,1900-01-10,70.0,77.4,62.6
USC00081306,1900-01-11,70.0,77.4,62.6
USC00081306,1900-01-12,69.9,77.3,62.5
USC00081306,1900-01-13,69.9,77.3,62.5
USC00081306,1900-01-14,69.9,77.3,62.5
USC00081306,1900-01-15,69.8,77.3,62.4
USC00081306,1900-01-16,69.8,77.2,62.4
USC00081306,1900-01-17,69.8,77.2,62.4
USC00081306,1900-01-18,69.8,77.2,62.4
USC00081306,1900-01-19,69.9,77.2,62.5
USC00081306,1900-01-20,69.9,77.3,62.5
USC00081306,1900-01-21,69.9,77.3,62.5
USC00081306,1900-01-22,69.9,77.3,62.6
USC00081306,1900-01-23,70.0,77.3,62.6
USC00081306,1900-01-24,70.0,77.4,62.7
USC00081306,1900-01-25,70.1,77.4,62.8
USC00081306,1900-01-26,70.2,77.5,62.8
USC00081306,1900-01-27,70.2,77.5,62.9
USC00081306,1900-01-28,70.3,77.6,63.0
USC00081306,1900-01-29,70.4,77.7,63.1
USC00081306,1900-01-30,70.5,77.7,63.2
USC00081306,1900-01-31,70.5,77.8,63.3
USC00081306,1900-07-01,84.7,90.5,79.0
USC00081306,1900-07-02,84.7,90.5,79.0
USC00081306,1900-07-03,84.8,90.5,79.0
USC00081306,1900-07-04,84.8,90.6,79.0
USC00081306,1900-07-05,84.8,90.6,79.0
USC00081306,1900-07-06,84.8,90.6,79.0
USC00081306,1900-07-07,84.8,90.6,79.0
USC00081306,1900-07-08,84.8,90.6,79.0
USC00081306,1900-07-09,84.8,90.6,79.0
USC00081306,1900-07-10,84.8,90.7,79.0
USC00081306,1900-07-11,84.8,90.7,79.0
USC00081306,1900-07-12,84.8,90.7,79.0
USC00081306,1900-07-13,84.8,90.7,79.0
USC00081306,1900-07-14,84.8,90.7,79.0
USC00081306,1900-07-15,84.9,90.7,79.0
USC00081306,1900-07-16,84.9,90.8,79.0
USC00081306,1900-07-17,84.9,90.8,79.0
USC00081306,1900-07-18,84.9,90.8,79.0
USC00081306,1900-07-19,84.9,90.8,79.0
USC00081306,1900-07-20,84.9,90.9,79.0
USC00081306,1900-07-21,84.9,90.9,79.0
USC00081306,1900-07-22,84.9,90.9,79.0
USC00081306,1900-07-23,85.0,90.9,79.0
USC00081306,1900-07-24,85.0,91.0,79.0
USC00081306,1900-07-25,85.0,91.0,79.0
USC00081306,1900-07-26,85.0,91.0,79.0
USC00081306,1900-07-27,85.1,91.1,79.1
USC00081306,1900-07-28,85.1,91.1,79.1
USC00081306,1900-07-29,85.1,91.1,79.1
USC00081306,1900-07-30,85.1,91.2,79.1
USC00081306,1900-07-31,85.2,91.2,79.1
USC00081306,1900-06-01,82.4,88.2,76.5
USC00081306,1900-06-02,82.5,88.4,76.7
USC00081306,1900-06-03,82.6,88.5,76.8
USC00081306,1900-06-04,82.7,88.6,76.9
USC00081306,1900-06-05,82.9,88.7,77.0
USC00081306,1900-06-06,83.0,88.8,77.1
USC00081306,1900-06-07,83.1,88.9,77.3
USC00081306,1900-06-08,83.2,89.0,77.4
USC00081306,1900-06-09,83.3,89.1,77.5
USC00081306,1900-06-10,83.4,89.2,77.6
USC00081306,1900-06-11,83.5,89.3,77.7
USC00081306,1900-06-12,83.6,89.4,77.8
USC00081306,1900-06-13,83.7,89.5,77.9
USC00081306,1900-06-14,83.8,89.6,78.0
USC00081306,1900-06-15,83.9,89.7,78.1
USC00081306,1900-06-16,84.0,89.8,78.2
USC00081306,1900-06-17,84.1,89.9,78.3
USC00081306,1900-06-18,84.1,89.9,78.4
USC00081306,1900-06-19,84.2,90.0,78.4
USC00081306,1900-06-20,84.3,90.1,78.5
USC00081306,1900-06-21,84.3,90.1,78.6
USC00081306,1900-06-22,84.4,90.2,78.6
USC00081306,1900-06-23,84.5,90.2,78.7
USC00081306,1900-06-24,84.5,90.3,78.7
USC00081306,1900-06-25,84.5,90.3,78.8
USC00081306,1900-06-26,84.6,90.4,78.8
USC00081306,1900-06-27,84.6,90.4,78.9
USC00081306,1900-06-28,84.7,90.4,78.9
USC00081306,1900-06-29,84.7,90.5,78.9
USC00081306,1900-06-30,84.7,90.5,78.9
USC00081306,1900-03-01,72.9,79.9,65.9
USC00081306,1900-03-02,73.0,79.9,66.0
USC00081306,1900-03-03,73.0,80.0,66.0
USC00081306,1900-03-04,73.1,80.0,66.1
USC00081306,1900-03-05,73.1,80.1,66.2
USC00081306,1900-03-06,73.2,80.2,66.2
USC00081306,1900-03-07,73.2,80.2,66.3
USC00081306,1900-03-08,73.3,80.3,66.3
USC00081306,1900-03-09,73.4,80.3,66.4
USC00081306,1900-03-10,73.4,80.4,66.4
USC00081306,1900-03-11,73.5,80.5,66.5
USC00081306,1900-03-12,73.6,80.5,66.6
USC00081306,1900-03-13,73.6,80.6,66.7
USC00081306,1900-03-14,73.7,80.7,66.7
USC00081306,1900-03-15,73.8,80.7,66.8
USC00081306,1900-03-16,73.9,80.8,66.9
USC00081306,1900-03-17,73.9,80.9,67.0
USC00081306,1900-03-18,74.0,81.0,67.1
USC00081306,1900-03-19,74.1,81.0,67.2
USC00081306,1900-03-20,74.2,81.1,67.3
USC00081306,1900-03-21,74.3,81.2,67.4
USC00081306,1900-03-22,74.4,81.3,67.6
USC00081306,1900-03-23,74.5,81.4,67.7
USC00081306,1900-03-24,74.7,81.5,67.8
USC00081306,1900-03-25,74.8,81.6,68.0
USC00081306,1900-03-26,74.9,81.7,68.1
USC00081306,1900-03-27,75.0,81.8,68.3
USC00081306,1900-03-28,75.2,81.9,68.4
USC00081306,1900-03-29,75.3,82.0,68.6
USC00081306,1900-03-30,75.4,82.1,68.7
USC00081306,1900-03-31,75.6,82.2,68.9
USC00081306,1900-05-01,79.4,85.2,73.6
USC00081306,1900-05-02,79.5,85.2,73.7
USC00081306,1900-05-03,79.5,85.3,73.8
USC00081306,1900-05-04,79.6,85.4,73.8
USC00081306,1900-05-05,79.7,85.5,73.9
USC00081306,1900-05-06,79.8,85.5,74.0
USC00081306,1900-05-07,79.9,85.6,74.1
USC00081306,1900-05-08,79.9,85.7,74.2
USC00081306,1900-05-09,80.0,85.8,74.3
USC00081306,1900-05-10,80.1,85.9,74.3
USC00081306,1900-05-11,80.2,85.9,74.4
USC00081306,1900-05-12,80.3,86.0,74.5
USC00081306,1900-05-13,80.4,86.1,74.6
USC00081306,1900-05-14,80.4,86.2,74.7
USC00081306,1900-05-15,80.5,86.3,74.7
USC00081306,1900-05-16,80.6,86.4,74.8
USC00081306,1900-05-17,80.7,86.5,74.9
USC00081306,1900-05-18,80.8,86.6,75.0
USC00081306,1900-05-19,80.9,86.7,75.1
USC00081306,1900-05-20,81.0,86.8,75.2
USC00081306,1900-05-21,81.1,86.9,75.3
USC00081306,1900-05-22,81.2,87.1,75.4
