Name,Disaster,Begin Date,End Date,CPI-Adjusted Cost,Unadjusted Cost,Deaths,Year
Southern Severe Storms and Flooding (April 1980),Flooding,1980-04-10,19800417,2756.4,706.8,30,1980
Hurricane Allen (August 1980),Tropical Cyclone,1980-08-07,19800811,2236.2,590.0,13,1980
Central/Eastern Drought/Heat Wave (Summer-Fall 1980),Drought,1980-06-01,19801130,40681.2,10020.0,1260,1980
Florida Freeze (January 1981),Freeze,1981-01-12,19810114,2076.4,572.0,0,1981
"Severe Storms, Flash Floods, Hail, Tornadoes (May 1981)",Severe Storm,1981-05-05,19810510,1409.1,401.4,20,1981
"Midwest/Southeast/Northeast Winter Storm, Cold Wave (January 1982)",Winter Storm,1982-01-08,19820116,2217.8,662.0,85,1982
Midwest/Plains/Southeast Tornadoes (April 1982),Severe Storm,1982-04-02,19820404,1609.0,483.2,33,1982
Severe Storms (June 1982),Severe Storm,1982-05-31,19820610,1579.0,479.9,30,1982
Gulf States Storms and Flooding (December 1982-January 1983),Flooding,1982-12-01,19830115,4946.2,1536.1,45,1982
Western Storms and Flooding (December 1982-March 1983),Flooding,1982-12-13,19830331,4828.7,1499.6,50,1982
Hurricane Alicia (August 1983),Tropical Cyclone,1983-08-17,19830820,9450.0,3000.0,21,1983
Southeast Drought (Summer 1983),Drought,1983-06-01,19830831,9574.0,2964.1,0,1983
Arizona Flooding (October 1983),Flooding,1983-09-29,19831003,1252.0,400.0,14,1983
Freeze/Cold Wave (December 1983),Freeze,1983-12-15,19831225,6479.5,2005.8,151,1983
"Tornadoes, Severe Storms, Floods (Spring 1984)",Severe Storm,1984-03-27,19840407,1857.4,603.1,80,1984
Severe Storms and Hail (June 1984),Severe Storm,1984-06-13,19840617,1356.4,446.2,1,1984
Florida Freeze (January 1985),Freeze,1985-01-20,19850122,3588.0,1200.0,0,1985
"Winter Storm, Cold Wave (January 1985)",Winter Storm,1985-01-19,19850122,2502.4,836.9,150,1985
Ohio and Pennsylvania Tornado Outbreak (June 1985),Severe Storm,1985-05-31,19850531,1758.1,600.0,89,1985
Hurricane Elena (September 1985),Tropical Cyclone,1985-08-30,19850903,3788.4,1297.4,4,1985
Hurricane Gloria (September 1985),Tropical Cyclone,1985-09-26,19850928,2491.3,856.1,11,1985
Hurricane Juan (October 1985),Tropical Cyclone,1985-10-27,19851031,4340.4,1496.7,63,1985
"Virginia, West Virginia, Pennsylvania and Maryland Flooding (November 1985)",Flooding,1985-11-03,19851108,4060.0,1400.0,62,1985
Western Severe Storms and Flooding (February 1986),Severe Storm,1986-02-14,19860216,1531.1,529.8,13,1986
Southeast Drought/Heat Wave (Summer 1986),Drought,1986-06-01,19860831,5194.5,1803.6,100,1986
Michigan Flooding (September 1986),Flooding,1986-09-10,19860912,1144.0,400.0,10,1986
U.S. Drought/Heat Wave (Summer 1988),Drought,1988-06-01,19880831,54610.4,20003.8,454,1988
Southern Derecho and Severe Storms (May 1989),Severe Storm,1989-05-01,19890506,1406.3,551.5,21,1989
Tropical Storm Allison (June 1989),Tropical Cyclone,1989-06-26,19890628,1485.9,585.0,11,1989
Hurricane Hugo (September 1989),Tropical Cyclone,1989-09-21,19890922,22679.7,8999.9,86,1989
Northern Plains Drought (Summer-Fall 1989),Drought,1989-06-01,19891130,7838.3,3003.2,0,1989
Florida Freeze (December 1989),Freeze,1989-12-23,19891225,5220.0,2000.0,10,1989
"Winter Storm, Cold Wave (December 1989)",Winter Storm,1989-12-21,19891226,1700.4,680.0,100,1989
Southern Flooding (May 1990),Flooding,1990-05-11,19900519,2456.9,1006.9,13,1990
Colorado Hail Storm (July 1990),Severe Storm,1990-07-11,19900711,1984.5,820.1,0,1990
Western Fire Season (Summer 1990),Wildfire,1990-06-01,19900831,1716.0,715.0,17,1990
California Freeze (December 1990),Freeze,1990-12-18,19901225,8432.0,3400.0,0,1990
"Severe Storms, Tornadoes (March 1991)",Severe Storm,1991-03-26,19910329,1509.4,645.0,0,1991
Hurricane Bob (August 1991),Tropical Cyclone,1991-08-18,19910820,3471.8,1502.9,18,1991
U.S. Drought (Spring-Summer 1991),Drought,1991-03-01,19910831,7039.8,3008.5,0,1991
Oakland Firestorm (October 1991),Wildfire,1991-10-01,19911031,7590.0,3300.0,25,1991
Severe Storms (March 1992),Severe Storm,1992-03-24,19920325,1825.8,804.3,0,1992
"Hail, Tornadoes (April 1992)",Severe Storm,1992-04-28,19920429,2157.0,954.4,0,1992
"Severe Storms, Hail (June 1992)",Severe Storm,1992-06-19,19920620,1683.1,748.0,0,1992
Hurricane Andrew (August 1992),Tropical Cyclone,1992-08-23,19920827,60480.0,27000.0,61,1992
Hurricane Iniki (September 1992),Tropical Cyclone,1992-09-11,19920912,6913.0,3100.0,7,1992
Southeast Severe Weather (November 1992),Severe Storm,1992-11-21,19921123,1458.5,657.0,26,1992
Northeast Winter Storm (December 1992),Winter Storm,1992-12-10,19921213,5512.4,2483.0,19,1992
East Coast Blizzard and Severe Weather (March 1993),Winter Storm,1993-03-11,19930314,12214.8,5527.0,270,1993
Northern Plains and Ohio Valley Severe Weather (July 1993),Severe Storm,1993-07-08,19930710,1410.4,644.0,1,1993
Midwest Flooding (Summer 1993),Flooding,1993-06-27,19930815,46323.6,20960.9,48,1993
Southeast Drought and Heat Wave (Summer 1993),Drought,1993-06-01,19930831,2780.2,1258.0,16,1993
California Wildfires (Fall 1993),Wildfire,1993-09-01,19931130,2989.9,1371.5,4,1993
"Winter Storm, Cold Wave (January 1994)",Winter Storm,1994-01-17,19940120,2246.3,1040.0,70,1994
Southeast Ice Storm (February 1994),Winter Storm,1994-02-08,19940213,6444.9,2997.5,9,1994
Midwest/Plains Tornadoes (April 1994),Severe Storm,1994-04-25,19940427,2108.4,985.1,3,1994
Tropical Storm Alberto (July 1994),Tropical Cyclone,1994-07-07,19940710,2126.8,998.5,32,1994
Texas Flooding (October 1994),Flooding,1994-10-16,19941025,2110.0,1000.0,19,1994
Western Fire Season (Summer-Fall 1994),Wildfire,1994-06-01,19941130,1544.4,725.0,0,1994
California Flooding (January-March 1995),Flooding,1995-01-01,19950331,5250.0,2500.0,27,1995
Texas Hail Storm (April 1995),Severe Storm,1995-04-28,19950428,1196.0,575.0,0,1995
South Plains Severe Weather (May 1995),Severe Storm,1995-05-05,19950507,11357.0,5486.5,32,1995
Hurricane Erin (August 1995),Tropical Cyclone,1995-08-01,19950807,1751.0,850.0,6,1995
