Date,Anomaly,Year,Month
198001,0.36,1980,1
198002,0.46,1980,2
198003,0.35,1980,3
198004,0.35,1980,4
198005,0.39,1980,5
198006,0.27,1980,6
198007,0.31,1980,7
198008,0.28,1980,8
198009,0.26,1980,9
198010,0.19,1980,10
198011,0.26,1980,11
198012,0.24,1980,12
198101,0.51,1981,1
198102,0.42,1981,2
198103,0.46,1981,3
198104,0.34,1981,4
198105,0.28,1981,5
198106,0.33,1981,6
198107,0.32,1981,7
198108,0.35,1981,8
198109,0.22,1981,9
198110,0.25,1981,10
198111,0.29,1981,11
198112,0.46,1981,12
198201,0.1,1982,1
198202,0.21,1982,2
198203,0.06,1982,3
198204,0.16,1982,4
198205,0.18,1982,5
198206,0.1,1982,6
198207,0.19,1982,7
198208,0.11,1982,8
198209,0.2,1982,9
198210,0.17,1982,10
198211,0.17,1982,11
198212,0.45,1982,12
198301,0.49,1983,1
198302,0.46,1983,2
198303,0.42,1983,3
198304,0.28,1983,4
198305,0.38,1983,5
198306,0.3,1983,6
198307,0.23,1983,7
198308,0.37,1983,8
198309,0.42,1983,9
198310,0.23,1983,10
198311,0.36,1983,11
198312,0.24,1983,12
198401,0.31,1984,1
198402,0.2,1984,2
198403,0.31,1984,3
198404,0.12,1984,4
198405,0.36,1984,5
198406,0.11,1984,6
198407,0.18,1984,7
198408,0.21,1984,8
198409,0.24,1984,9
198410,0.17,1984,10
198411,0.08,1984,11
198412,0.02,1984,12
198501,0.27,1985,1
198502,0.04,1985,2
198503,0.22,1985,3
198504,0.15,1985,4
198505,0.2,1985,5
198506,0.2,1985,6
198507,0.04,1985,7
198508,0.17,1985,8
198509,0.17,1985,9
198510,0.13,1985,10
198511,0.11,1985,11
198512,0.19,1985,12
198601,0.28,1986,1
198602,0.39,1986,2
198603,0.31,1986,3
198604,0.26,1986,4
198605,0.27,1986,5
198606,0.18,1986,6
198607,0.17,1986,7
198608,0.2,1986,8
198609,0.13,1986,9
198610,0.18,1986,10
198611,0.14,1986,11
198612,0.22,1986,12
198701,0.35,1987,1
198702,0.39,1987,2
198703,0.2,1987,3
198704,0.27,1987,4
198705,0.32,1987,5
198706,0.36,1987,6
198707,0.48,1987,7
198708,0.31,1987,8
198709,0.4,1987,9
198710,0.33,1987,10
198711,0.26,1987,11
198712,0.45,1987,12
198801,0.55,1988,1
198802,0.46,1988,2
198803,0.52,1988,3
198804,0.45,1988,4
198805,0.46,1988,5
198806,0.43,1988,6
198807,0.36,1988,7
198808,0.41,1988,8
198809,0.39,1988,9
198810,0.36,1988,10
198811,0.15,1988,11
198812,0.29,1988,12
198901,0.11,1989,1
198902,0.32,1989,2
198903,0.32,1989,3
198904,0.31,1989,4
198905,0.2,1989,5
198906,0.22,1989,6
198907,0.3,1989,7
198908,0.33,1989,8
198909,0.39,1989,9
198910,0.32,1989,10
198911,0.17,1989,11
198912,0.41,1989,12
199001,0.39,1990,1
199002,0.4,1990,2
199003,0.75,1990,3
199004,0.61,1990,4
199005,0.52,1990,5
199006,0.39,1990,6
199007,0.42,1990,7
199008,0.36,1990,8
199009,0.32,1990,9
199010,0.42,1990,10
199011,0.41,1990,11
199012,0.43,1990,12
199101,0.41,1991,1
199102,0.5,1991,2
199103,0.37,1991,3
199104,0.52,1991,4
199105,0.42,1991,5
199106,0.54,1991,6
199107,0.48,1991,7
199108,0.42,1991,8
199109,0.42,1991,9
199110,0.33,1991,10
199111,0.3,1991,11
199112,0.3,1991,12
199201,0.43,1992,1
199202,0.43,1992,2
199203,0.48,1992,3
199204,0.3,1992,4
199205,0.34,1992,5
199206,0.3,1992,6
199207,0.14,1992,7
199208,0.11,1992,8
199209,0.04,1992,9
199210,0.06,1992,10
199211,0.05,1992,11
199212,0.2,1992,12
199301,0.34,1993,1
199302,0.4,1993,2
199303,0.37,1993,3
199304,0.32,1993,4
199305,0.3,1993,5
199306,0.31,1993,6
199307,0.27,1993,7
199308,0.18,1993,8
199309,0.19,1993,9
199310,0.26,1993,10
199311,0.08,1993,11
199312,0.21,1993,12
199401,0.23,1994,1
199402,0.06,1994,2
199403,0.3,1994,3
199404,0.4,1994,4
199405,0.33,1994,5
199406,0.43,1994,6
199407,0.32,1994,7
199408,0.25,1994,8
199409,0.35,1994,9
199410,0.44,1994,10
199411,0.43,1994,11
199412,0.39,1994,12
199501,0.54,1995,1
199502,0.76,1995,2
199503,0.51,1995,3
199504,0.5,1995,4
199505,0.33,1995,5
199506,0.47,1995,6
199507,0.5,1995,7
199508,0.53,1995,8
199509,0.42,1995,9
199510,0.44,1995,10
199511,0.46,1995,11
199512,0.31,1995,12
199601,0.28,1996,1
199602,0.49,1996,2
199603,0.38,1996,3
199604,0.34,1996,4
199605,0.33,1996,5
199606,0.3,1996,6
199607,0.37,1996,7
199608,0.45,1996,8
199609,0.29,1996,9
199610,0.21,1996,10
199611,0.4,1996,11
199612,0.36,1996,12
199701,0.26,1997,1
199702,0.37,1997,2
199703,0.52,1997,3
199704,0.39,1997,4
199705,0.39,1997,5
199706,0.56,1997,6
199707,0.43,1997,7
199708,0.47,1997,8
199709,0.61,1997,9
199710,0.64,1997,10
199711,0.62,1997,11
199712,0.58,1997,12
199801,0.6,1998,1
199802,0.81,1998,2
199803,0.64,1998,3
199804,0.72,1998,4
199805,0.7,1998,5
199806,0.74,1998,6
199807,0.71,1998,7
199808,0.71,1998,8
199809,0.5,1998,9
199810,0.44,1998,10
199811,0.44,1998,11
199812,0.58,1998,12
199901,0.47,1999,1
199902,0.65,1999,2
199903,0.36,1999,3
199904,0.36,1999,4
199905,0.32,1999,5
199906,0.41,1999,6
199907,0.38,1999,7
199908,0.38,1999,8
199909,0.42,1999,9
199910,0.34,1999,10
199911,0.36,1999,11
199912,0.47,1999,12
200001,0.31,2000,1
200002,0.54,2000,2
200003,0.53,2000,3
200004,0.59,2000,4
200005,0.37,2000,5
200006,0.39,2000,6
200007,0.41,2000,7
200008,0.44,2000,8
200009,0.45,2000,9
200010,0.31,2000,10
200011,0.3,2000,11
200012,0.3,2000,12
200101,0.46,2001,1
200102,0.43,2001,2
200103,0.54,2001,3
200104,0.53,2001,4
200105,0.57,2001,5
200106,0.53,2001,6
200107,0.62,2001,7
200108,0.54,2001,8
200109,0.55,2001,9
200110,0.5,2001,10
200111,0.69,2001,11
200112,0.62,2001,12
200201,0.68,2002,1
200202,0.68,2002,2
200203,0.83,2002,3
200204,0.56,2002,4
200205,0.66,2002,5
200206,0.58,2002,6
200207,0.64,2002,7
200208,0.56,2002,8
200209,0.61,2002,9
200210,0.57,2002,10
200211,0.57,2002,11
200212,0.51,2002,12
200301,0.71,2003,1
200302,0.62,2003,2
200303,0.59,2003,3
200304,0.57,2003,4
200305,0.6,2003,5
200306,0.5,2003,6
200307,0.58,2003,7
200308,0.65,2003,8
200309,0.69,2003,9
200310,0.75,2003,10
200311,0.56,2003,11
200312,0.73,2003,12
200401,0.62,2004,1
200402,0.7,2004,2
200403,0.67,2004,3
200404,0.62,2004,4
200405,0.4,2004,5
200406,0.44,2004,6
200407,0.37,2004,7
200408,0.49,2004,8
200409,0.55,2004,9
200410,0.62,2004,10
200411,0.7,2004,11
200412,0.54,2004,12
200501,0.77,2005,1
200502,0.63,2005,2
