STATION,DATE,DLY-TAVG-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL
USC00081306,1900-04-01,731,791,672
USC00081306,1900-04-02,732,793,672
USC00081306,1900-04-03,733,794,673
USC00081306,1900-04-04,735,795,674
USC00081306,1900-04-05,736,796,675
USC00081306,1900-04-06,737,797,676
USC00081306,1900-04-07,738,798,677
USC00081306,1900-04-08,739,800,678
USC00081306,1900-04-09,740,801,679
USC00081306,1900-04-10,741,802,680
USC00081306,1900-04-11,742,803,682
USC00081306,1900-04-12,743,804,683
USC00081306,1900-04-13,745,805,684
USC00081306,1900-04-14,746,806,685
USC00081306,1900-04-15,747,807,687
USC00081306,1900-04-16,748,808,688
USC00081306,1900-04-17,749,809,690
USC00081306,1900-04-18,751,810,691
USC00081306,1900-04-19,752,811,693
USC00081306,1900-04-20,753,812,694
USC00081306,1900-04-21,754,813,696
USC00081306,1900-04-22,756,814,697
USC00081306,1900-04-23,757,815,699
USC00081306,1900-04-24,758,816,701
USC00081306,1900-04-25,760,816,703
USC00081306,1900-04-26,761,817,704
USC00081306,1900-04-27,762,818,706
USC00081306,1900-04-28,763,819,708
USC00081306,1900-04-29,765,820,710
USC00081306,1900-04-30,766,821,712
USC00081306,1900-08-01,837,893,781
USC00081306,1900-08-02,837,893,781
USC00081306,1900-08-03,837,893,781
USC00081306,1900-08-04,837,893,780
USC00081306,1900-08-05,837,893,780
USC00081306,1900-08-06,837,893,780
USC00081306,1900-08-07,836,893,780
USC00081306,1900-08-08,836,893,780
USC00081306,1900-08-09,836,892,780
USC00081306,1900-08-10,836,892,779
USC00081306,1900-08-11,835,892,779
USC00081306,1900-08-12,835,891,779
USC00081306,1900-08-13,835,891,779
USC00081306,1900-08-14,835,891,778
USC00081306,1900-08-15,834,890,778
USC00081306,1900-08-16,834,890,778
USC00081306,1900-08-17,834,889,778
USC00081306,1900-08-18,833,889,778
USC00081306,1900-08-19,833,888,777
USC00081306,1900-08-20,832,888,777
USC00081306,1900-08-21,832,887,777
USC00081306,1900-08-22,832,887,777
USC00081306,1900-08-23,831,886,776
USC00081306,1900-08-24,831,886,776
USC00081306,1900-08-25,831,885,776
USC00081306,1900-08-26,830,885,776
USC00081306,1900-08-27,830,884,776
USC00081306,1900-08-28,829,883,776
USC00081306,1900-08-29,829,883,775
USC00081306,1900-08-30,829,882,775
USC00081306,1900-08-31,828,882,775
USC00081306,1900-12-01,730,786,674
USC00081306,1900-12-02,729,785,672
USC00081306,1900-12-03,727,784,670
USC00081306,1900-12-04,726,783,668
USC00081306,1900-12-05,724,782,666
USC00081306,1900-12-06,722,781,664
USC00081306,1900-12-07,721,780,662
USC00081306,1900-12-08,719,778,660
USC00081306,1900-12-09,718,777,658
USC00081306,1900-12-10,716,776,656
USC00081306,1900-12-11,715,775,654
USC00081306,1900-12-12,713,773,653
USC00081306,1900-12-13,711,772,651
USC00081306,1900-12-14,710,771,649
USC00081306,1900-12-15,708,769,647
USC00081306,1900-12-16,707,768,645
USC00081306,1900-12-17,705,767,643
USC00081306,1900-12-18,703,765,641
USC00081306,1900-12-19,702,764,640
USC00081306,1900-12-20,700,763,638
USC00081306,1900-12-21,699,761,636
USC00081306,1900-12-22,697,760,634
USC00081306,1900-12-23,696,759,633
USC00081306,1900-12-24,694,757,631
USC00081306,1900-12-25,693,756,630
USC00081306,1900-12-26,692,755,628
USC00081306,1900-12-27,690,754,627
USC00081306,1900-12-28,689,753,626
USC00081306,1900-12-29,688,752,624
USC00081306,1900-12-30,687,751,623
USC00081306,1900-12-31,686,750,622
USC00081306,1900-02-01,688,752,624
USC00081306,1900-02-02,689,753,624
USC00081306,1900-02-03,690,754,625
USC00081306,1900-02-04,690,754,626
USC00081306,1900-02-05,691,755,627
USC00081306,1900-02-06,692,756,628
USC00081306,1900-02-07,693,756,629
USC00081306,1900-02-08,694,757,630
USC00081306,1900-02-09,695,758,631
USC00081306,1900-02-10,695,758,632
USC00081306,1900-02-11,696,759,634
USC00081306,1900-02-12,697,759,635
USC00081306,1900-02-13,698,760,636
USC00081306,1900-02-14,699,760,637
USC00081306,1900-02-15,699,761,638
USC00081306,1900-02-16,700,761,639
USC00081306,1900-02-17,701,762,640
USC00081306,1900-02-18,701,762,641
USC00081306,1900-02-19,702,763,642
USC00081306,1900-02-20,703,763,643
USC00081306,1900-02-21,704,763,644
USC00081306,1900-02-22,704,764,645
USC00081306,1900-02-23,705,764,646
USC00081306,1900-02-24,705,764,647
USC00081306,1900-02-25,706,765,647
USC00081306,1900-02-26,707,765,648
USC00081306,1900-02-27,707,765,649
USC00081306,1900-02-28,708,766,650
USC00081306,1900-01-01,685,749,621
USC00081306,1900-01-02,684,748,620
USC00081306,1900-01-03,683,747,619
USC00081306,1900-01-04,682,746,618
USC00081306,1900-01-05,682,746,618
USC00081306,1900-01-06,681,745,617
USC00081306,1900-01-07,680,745,616
USC00081306,1900-01-08,680,744,616
USC00081306,1900-01-09,680,744,615
USC00081306,1900-01-10,679,744,615
USC00081306,1900-01-11,679,743,615
USC00081306,1900-01-12,679,743,614
USC00081306,1900-01-13,679,743,614
USC00081306,1900-01-14,679,743,614
USC00081306,1900-01-15,679,743,614
USC00081306,1900-01-16,679,744,614
USC00081306,1900-01-17,679,744,614
USC00081306,1900-01-18,679,744,615
USC00081306,1900-01-19,680,744,615
USC00081306,1900-01-20,680,745,615
USC00081306,1900-01-21,681,745,616
USC00081306,1900-01-22,681,746,616
USC00081306,1900-01-23,682,746,617
USC00081306,1900-01-24,682,747,617
USC00081306,1900-01-25,683,747,618
USC00081306,1900-01-26,683,748,619
USC00081306,1900-01-27,684,749,619
USC00081306,1900-01-28,685,749,620
USC00081306,1900-01-29,686,750,621
USC00081306,1900-01-30,686,751,622
USC00081306,1900-01-31,687,752,623
USC00081306,1900-07-01,824,875,773
USC00081306,1900-07-02,825,876,773
USC00081306,1900-07-03,825,877,774
USC00081306,1900-07-04,826,878,774
USC00081306,1900-07-05,827,879,774
