"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USC00081306","04-01","731","791","672"
"USC00081306","04-02","732","793","672"
"USC00081306","04-03","733","794","673"
"USC00081306","04-04","735","795","674"
"USC00081306","04-05","736","796","675"
"USC00081306","04-06","737","797","676"
"USC00081306","04-07","738","798","677"
"USC00081306","04-08","739","800","678"
"USC00081306","04-09","740","801","679"
"USC00081306","04-10","741","802","680"
"USC00081306","04-11","742","803","682"
"USC00081306","04-12","743","804","683"
"USC00081306","04-13","745","805","684"
"USC00081306","04-14","746","806","685"
"USC00081306","04-15","747","807","687"
"USC00081306","04-16","748","808","688"
"USC00081306","04-17","749","809","690"
"USC00081306","04-18","751","810","691"
"USC00081306","04-19","752","811","693"
"USC00081306","04-20","753","812","694"
"USC00081306","04-21","754","813","696"
"USC00081306","04-22","756","814","697"
"USC00081306","04-23","757","815","699"
"USC00081306","04-24","758","816","701"
"USC00081306","04-25","760","816","703"
"USC00081306","04-26","761","817","704"
"USC00081306","04-27","762","818","706"
"USC00081306","04-28","763","819","708"
"USC00081306","04-29","765","820","710"
"USC00081306","04-30","766","821","712"
