"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USC00081306","04-01","    75.7","    82.3","    69.1"
"USC00081306","04-02","    75.8","    82.4","    69.3"
"USC00081306","04-03","    76.0","    82.5","    69.4"
"USC00081306","04-04","    76.1","    82.7","    69.6"
"USC00081306","04-05","    76.3","    82.8","    69.8"
"USC00081306","04-06","    76.4","    82.9","    70.0"
"USC00081306","04-07","    76.6","    83.0","    70.2"
"USC00081306","04-08","    76.7","    83.1","    70.3"
"USC00081306","04-09","    76.9","    83.2","    70.5"
"USC00081306","04-10","    77.0","    83.3","    70.7"
"USC00081306","04-11","    77.1","    83.4","    70.9"
"USC00081306","04-12","    77.3","    83.5","    71.0"
"USC00081306","04-13","    77.4","    83.6","    71.2"
"USC00081306","04-14","    77.6","    83.7","    71.4"
"USC00081306","04-15","    77.7","    83.8","    71.6"
"USC00081306","04-16","    77.8","    83.9","    71.7"
"USC00081306","04-17","    77.9","    84.0","    71.9"
"USC00081306","04-18","    78.1","    84.1","    72.0"
"USC00081306","04-19","    78.2","    84.2","    72.2"
"USC00081306","04-20","    78.3","    84.3","    72.3"
"USC00081306","04-21","    78.4","    84.4","    72.5"
"USC00081306","04-22","    78.5","    84.4","    72.6"
"USC00081306","04-23","    78.6","    84.5","    72.7"
"USC00081306","04-24","    78.7","    84.6","    72.8"
"USC00081306","04-25","    78.8","    84.7","    73.0"
"USC00081306","04-26","    78.9","    84.8","    73.1"
"USC00081306","04-27","    79.0","    84.8","    73.2"
"USC00081306","04-28","    79.1","    84.9","    73.3"
"USC00081306","04-29","    79.2","    85.0","    73.4"
"USC00081306","04-30","    79.3","    85.1","    73.5"
