"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USC00081306","08-01","837","893","781"
"USC00081306","08-02","837","893","781"
"USC00081306","08-03","837","893","781"
"USC00081306","08-04","837","893","780"
"USC00081306","08-05","837","893","780"
"USC00081306","08-06","837","893","780"
"USC00081306","08-07","836","893","780"
"USC00081306","08-08","836","893","780"
"USC00081306","08-09","836","892","780"
"USC00081306","08-10","836","892","779"
"USC00081306","08-11","835","892","779"
"USC00081306","08-12","835","891","779"
"USC00081306","08-13","835","891","779"
"USC00081306","08-14","835","891","778"
"USC00081306","08-15","834","890","778"
"USC00081306","08-16","834","890","778"
"USC00081306","08-17","834","889","778"
"USC00081306","08-18","833","889","778"
"USC00081306","08-19","833","888","777"
"USC00081306","08-20","832","888","777"
"USC00081306","08-21","832","887","777"
"USC00081306","08-22","832","887","777"
"USC00081306","08-23","831","886","776"
"USC00081306","08-24","831","886","776"
"USC00081306","08-25","831","885","776"
"USC00081306","08-26","830","885","776"
"USC00081306","08-27","830","884","776"
"USC00081306","08-28","829","883","776"
"USC00081306","08-29","829","883","775"
"USC00081306","08-30","829","882","775"
"USC00081306","08-31","828","882","775"
