"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USC00081306","08-01","    85.2","    91.2","    79.2"
"USC00081306","08-02","    85.2","    91.2","    79.2"
"USC00081306","08-03","    85.2","    91.3","    79.2"
"USC00081306","08-04","    85.3","    91.3","    79.2"
"USC00081306","08-05","    85.3","    91.3","    79.3"
"USC00081306","08-06","    85.3","    91.4","    79.3"
"USC00081306","08-07","    85.4","    91.4","    79.3"
"USC00081306","08-08","    85.4","    91.4","    79.3"
"USC00081306","08-09","    85.4","    91.4","    79.4"
"USC00081306","08-10","    85.4","    91.5","    79.4"
"USC00081306","08-11","    85.4","    91.5","    79.4"
"USC00081306","08-12","    85.5","    91.5","    79.4"
"USC00081306","08-13","    85.5","    91.5","    79.5"
"USC00081306","08-14","    85.5","    91.5","    79.5"
"USC00081306","08-15","    85.5","    91.5","    79.5"
"USC00081306","08-16","    85.5","    91.5","    79.5"
"USC00081306","08-17","    85.5","    91.5","    79.5"
"USC00081306","08-18","    85.5","    91.5","    79.5"
"USC00081306","08-19","    85.5","    91.5","    79.5"
"USC00081306","08-20","    85.5","    91.5","    79.5"
"USC00081306","08-21","    85.5","    91.5","    79.5"
"USC00081306","08-22","    85.5","    91.5","    79.5"
"USC00081306","08-23","    85.5","    91.4","    79.5"
"USC00081306","08-24","    85.5","    91.4","    79.5"
"USC00081306","08-25","    85.4","    91.4","    79.5"
"USC00081306","08-26","    85.4","    91.4","    79.5"
"USC00081306","08-27","    85.4","    91.3","    79.4"
"USC00081306","08-28","    85.4","    91.3","    79.4"
"USC00081306","08-29","    85.3","    91.3","    79.4"
"USC00081306","08-30","    85.3","    91.2","    79.4"
"USC00081306","08-31","    85.3","    91.2","    79.3"
