"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USC00081306","12-01","730","786","674"
"USC00081306","12-02","729","785","672"
"USC00081306","12-03","727","784","670"
"USC00081306","12-04","726","783","668"
"USC00081306","12-05","724","782","666"
"USC00081306","12-06","722","781","664"
"USC00081306","12-07","721","780","662"
"USC00081306","12-08","719","778","660"
"USC00081306","12-09","718","777","658"
"USC00081306","12-10","716","776","656"
"USC00081306","12-11","715","775","654"
"USC00081306","12-12","713","773","653"
"USC00081306","12-13","711","772","651"
"USC00081306","12-14","710","771","649"
"USC00081306","12-15","708","769","647"
"USC00081306","12-16","707","768","645"
"USC00081306","12-17","705","767","643"
"USC00081306","12-18","703","765","641"
"USC00081306","12-19","702","764","640"
"USC00081306","12-20","700","763","638"
"USC00081306","12-21","699","761","636"
"USC00081306","12-22","697","760","634"
"USC00081306","12-23","696","759","633"
"USC00081306","12-24","694","757","631"
"USC00081306","12-25","693","756","630"
"USC00081306","12-26","692","755","628"
"USC00081306","12-27","690","754","627"
"USC00081306","12-28","689","753","626"
"USC00081306","12-29","688","752","624"
"USC00081306","12-30","687","751","623"
"USC00081306","12-31","686","750","622"
