"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USC00081306","12-01","    74.7","    81.1","    68.2"
"USC00081306","12-02","    74.5","    81.0","    68.1"
"USC00081306","12-03","    74.4","    80.9","    67.9"
"USC00081306","12-04","    74.3","    80.8","    67.8"
"USC00081306","12-05","    74.2","    80.8","    67.7"
"USC00081306","12-06","    74.1","    80.7","    67.5"
"USC00081306","12-07","    74.0","    80.6","    67.4"
"USC00081306","12-08","    73.9","    80.5","    67.2"
"USC00081306","12-09","    73.8","    80.4","    67.1"
"USC00081306","12-10","    73.6","    80.3","    67.0"
"USC00081306","12-11","    73.5","    80.2","    66.8"
"USC00081306","12-12","    73.4","    80.1","    66.7"
"USC00081306","12-13","    73.3","    80.0","    66.5"
"USC00081306","12-14","    73.1","    79.9","    66.3"
"USC00081306","12-15","    73.0","    79.9","    66.2"
"USC00081306","12-16","    72.9","    79.8","    66.0"
"USC00081306","12-17","    72.8","    79.6","    65.9"
"USC00081306","12-18","    72.6","    79.5","    65.7"
"USC00081306","12-19","    72.5","    79.4","    65.6"
"USC00081306","12-20","    72.4","    79.3","    65.4"
"USC00081306","12-21","    72.2","    79.2","    65.2"
"USC00081306","12-22","    72.1","    79.1","    65.1"
"USC00081306","12-23","    72.0","    79.0","    64.9"
"USC00081306","12-24","    71.8","    78.9","    64.8"
"USC00081306","12-25","    71.7","    78.8","    64.6"
"USC00081306","12-26","    71.6","    78.7","    64.4"
"USC00081306","12-27","    71.4","    78.6","    64.3"
"USC00081306","12-28","    71.3","    78.5","    64.1"
"USC00081306","12-29","    71.2","    78.4","    64.0"
"USC00081306","12-30","    71.1","    78.3","    63.8"
"USC00081306","12-31","    70.9","    78.2","    63.7"
