"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USC00081306","02-01","688","752","624"
"USC00081306","02-02","689","753","624"
"USC00081306","02-03","690","754","625"
"USC00081306","02-04","690","754","626"
"USC00081306","02-05","691","755","627"
"USC00081306","02-06","692","756","628"
"USC00081306","02-07","693","756","629"
"USC00081306","02-08","694","757","630"
"USC00081306","02-09","695","758","631"
"USC00081306","02-10","695","758","632"
"USC00081306","02-11","696","759","634"
"USC00081306","02-12","697","759","635"
"USC00081306","02-13","698","760","636"
"USC00081306","02-14","699","760","637"
"USC00081306","02-15","699","761","638"
"USC00081306","02-16","700","761","639"
"USC00081306","02-17","701","762","640"
"USC00081306","02-18","701","762","641"
"USC00081306","02-19","702","763","642"
"USC00081306","02-20","703","763","643"
"USC00081306","02-21","704","763","644"
"USC00081306","02-22","704","764","645"
"USC00081306","02-23","705","764","646"
"USC00081306","02-24","705","764","647"
"USC00081306","02-25","706","765","647"
"USC00081306","02-26","707","765","648"
"USC00081306","02-27","707","765","649"
"USC00081306","02-28","708","766","650"
