"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USC00081306","02-01","    70.6","    77.9","    63.4"
"USC00081306","02-02","    70.7","    77.9","    63.5"
"USC00081306","02-03","    70.8","    78.0","    63.6"
"USC00081306","02-04","    70.9","    78.1","    63.7"
"USC00081306","02-05","    71.0","    78.2","    63.9"
"USC00081306","02-06","    71.1","    78.3","    64.0"
"USC00081306","02-07","    71.2","    78.3","    64.1"
"USC00081306","02-08","    71.3","    78.4","    64.2"
"USC00081306","02-09","    71.4","    78.5","    64.3"
"USC00081306","02-10","    71.5","    78.6","    64.4"
"USC00081306","02-11","    71.6","    78.7","    64.5"
"USC00081306","02-12","    71.7","    78.7","    64.6"
"USC00081306","02-13","    71.8","    78.8","    64.8"
"USC00081306","02-14","    71.9","    78.9","    64.9"
"USC00081306","02-15","    72.0","    79.0","    64.9"
"USC00081306","02-16","    72.0","    79.1","    65.0"
"USC00081306","02-17","    72.1","    79.1","    65.1"
"USC00081306","02-18","    72.2","    79.2","    65.2"
"USC00081306","02-19","    72.3","    79.3","    65.3"
"USC00081306","02-20","    72.4","    79.3","    65.4"
"USC00081306","02-21","    72.4","    79.4","    65.5"
"USC00081306","02-22","    72.5","    79.5","    65.5"
"USC00081306","02-23","    72.6","    79.5","    65.6"
"USC00081306","02-24","    72.6","    79.6","    65.7"
"USC00081306","02-25","    72.7","    79.6","    65.7"
"USC00081306","02-26","    72.7","    79.7","    65.8"
"USC00081306","02-27","    72.8","    79.8","    65.8"
"USC00081306","02-28","    72.9","    79.8","    65.9"
