"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USC00081306","01-01","685","749","621"
"USC00081306","01-02","684","748","620"
"USC00081306","01-03","683","747","619"
"USC00081306","01-04","682","746","618"
"USC00081306","01-05","682","746","618"
"USC00081306","01-06","681","745","617"
"USC00081306","01-07","680","745","616"
"USC00081306","01-08","680","744","616"
"USC00081306","01-09","680","744","615"
"USC00081306","01-10","679","744","615"
"USC00081306","01-11","679","743","615"
"USC00081306","01-12","679","743","614"
"USC00081306","01-13","679","743","614"
"USC00081306","01-14","679","743","614"
"USC00081306","01-15","679","743","614"
"USC00081306","01-16","679","744","614"
"USC00081306","01-17","679","744","614"
"USC00081306","01-18","679","744","615"
"USC00081306","01-19","680","744","615"
"USC00081306","01-20","680","745","615"
"USC00081306","01-21","681","745","616"
"USC00081306","01-22","681","746","616"
"USC00081306","01-23","682","746","617"
"USC00081306","01-24","682","747","617"
"USC00081306","01-25","683","747","618"
"USC00081306","01-26","683","748","619"
"USC00081306","01-27","684","749","619"
"USC00081306","01-28","685","749","620"
"USC00081306","01-29","686","750","621"
"USC00081306","01-30","686","751","622"
"USC00081306","01-31","687","752","623"
