"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USC00081306","01-01","    70.8","    78.1","    63.6"
"USC00081306","01-02","    70.7","    78.0","    63.4"
"USC00081306","01-03","    70.6","    77.9","    63.3"
"USC00081306","01-04","    70.5","    77.8","    63.2"
"USC00081306","01-05","    70.4","    77.7","    63.1"
"USC00081306","01-06","    70.3","    77.7","    63.0"
"USC00081306","01-07","    70.2","    77.6","    62.9"
"USC00081306","01-08","    70.2","    77.5","    62.8"
"USC00081306","01-09","    70.1","    77.5","    62.7"
"USC00081306","01-10","    70.0","    77.4","    62.6"
"USC00081306","01-11","    70.0","    77.4","    62.6"
"USC00081306","01-12","    69.9","    77.3","    62.5"
"USC00081306","01-13","    69.9","    77.3","    62.5"
"USC00081306","01-14","    69.9","    77.3","    62.5"
"USC00081306","01-15","    69.8","    77.3","    62.4"
"USC00081306","01-16","    69.8","    77.2","    62.4"
"USC00081306","01-17","    69.8","    77.2","    62.4"
"USC00081306","01-18","    69.8","    77.2","    62.4"
"USC00081306","01-19","    69.9","    77.2","    62.5"
"USC00081306","01-20","    69.9","    77.3","    62.5"
"USC00081306","01-21","    69.9","    77.3","    62.5"
"USC00081306","01-22","    69.9","    77.3","    62.6"
"USC00081306","01-23","    70.0","    77.3","    62.6"
"USC00081306","01-24","    70.0","    77.4","    62.7"
"USC00081306","01-25","    70.1","    77.4","    62.8"
"USC00081306","01-26","    70.2","    77.5","    62.8"
"USC00081306","01-27","    70.2","    77.5","    62.9"
"USC00081306","01-28","    70.3","    77.6","    63.0"
"USC00081306","01-29","    70.4","    77.7","    63.1"
"USC00081306","01-30","    70.5","    77.7","    63.2"
"USC00081306","01-31","    70.5","    77.8","    63.3"
