"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USC00081306","07-01","824","875","773"
"USC00081306","07-02","825","876","773"
"USC00081306","07-03","825","877","774"
"USC00081306","07-04","826","878","774"
"USC00081306","07-05","827","879","774"
"USC00081306","07-06","827","879","775"
"USC00081306","07-07","828","880","775"
"USC00081306","07-08","828","881","776"
"USC00081306","07-09","829","882","776"
"USC00081306","07-10","830","883","777"
"USC00081306","07-11","830","883","777"
"USC00081306","07-12","831","884","777"
"USC00081306","07-13","831","885","778"
"USC00081306","07-14","832","886","778"
"USC00081306","07-15","832","886","778"
"USC00081306","07-16","833","887","779"
"USC00081306","07-17","833","888","779"
"USC00081306","07-18","834","888","779"
"USC00081306","07-19","834","889","780"
"USC00081306","07-20","835","889","780"
"USC00081306","07-21","835","890","780"
"USC00081306","07-22","835","890","780"
"USC00081306","07-23","836","891","780"
"USC00081306","07-24","836","891","780"
"USC00081306","07-25","836","892","781"
"USC00081306","07-26","836","892","781"
"USC00081306","07-27","837","892","781"
"USC00081306","07-28","837","893","781"
"USC00081306","07-29","837","893","781"
"USC00081306","07-30","837","893","781"
"USC00081306","07-31","837","893","781"
