"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USC00081306","07-01","    84.7","    90.5","    79.0"
"USC00081306","07-02","    84.7","    90.5","    79.0"
"USC00081306","07-03","    84.8","    90.5","    79.0"
"USC00081306","07-04","    84.8","    90.6","    79.0"
"USC00081306","07-05","    84.8","    90.6","    79.0"
"USC00081306","07-06","    84.8","    90.6","    79.0"
"USC00081306","07-07","    84.8","    90.6","    79.0"
"USC00081306","07-08","    84.8","    90.6","    79.0"
"USC00081306","07-09","    84.8","    90.6","    79.0"
"USC00081306","07-10","    84.8","    90.7","    79.0"
"USC00081306","07-11","    84.8","    90.7","    79.0"
"USC00081306","07-12","    84.8","    90.7","    79.0"
"USC00081306","07-13","    84.8","    90.7","    79.0"
"USC00081306","07-14","    84.8","    90.7","    79.0"
"USC00081306","07-15","    84.9","    90.7","    79.0"
"USC00081306","07-16","    84.9","    90.8","    79.0"
"USC00081306","07-17","    84.9","    90.8","    79.0"
"USC00081306","07-18","    84.9","    90.8","    79.0"
"USC00081306","07-19","    84.9","    90.8","    79.0"
"USC00081306","07-20","    84.9","    90.9","    79.0"
"USC00081306","07-21","    84.9","    90.9","    79.0"
"USC00081306","07-22","    84.9","    90.9","    79.0"
"USC00081306","07-23","    85.0","    90.9","    79.0"
"USC00081306","07-24","    85.0","    91.0","    79.0"
"USC00081306","07-25","    85.0","    91.0","    79.0"
"USC00081306","07-26","    85.0","    91.0","    79.0"
"USC00081306","07-27","    85.1","    91.1","    79.1"
"USC00081306","07-28","    85.1","    91.1","    79.1"
"USC00081306","07-29","    85.1","    91.1","    79.1"
"USC00081306","07-30","    85.1","    91.2","    79.1"
"USC00081306","07-31","    85.2","    91.2","    79.1"
