"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USC00081306","06-01","803","849","758"
"USC00081306","06-02","804","850","759"
"USC00081306","06-03","805","851","760"
"USC00081306","06-04","806","852","760"
"USC00081306","06-05","807","853","761"
"USC00081306","06-06","808","854","762"
"USC00081306","06-07","808","854","762"
"USC00081306","06-08","809","855","763"
"USC00081306","06-09","810","856","763"
"USC00081306","06-10","811","857","764"
"USC00081306","06-11","811","858","764"
"USC00081306","06-12","812","859","765"
"USC00081306","06-13","813","860","765"
"USC00081306","06-14","813","861","766"
"USC00081306","06-15","814","862","766"
"USC00081306","06-16","815","863","767"
"USC00081306","06-17","815","864","767"
"USC00081306","06-18","816","864","767"
"USC00081306","06-19","817","865","768"
"USC00081306","06-20","817","866","768"
"USC00081306","06-21","818","867","769"
"USC00081306","06-22","818","868","769"
"USC00081306","06-23","819","869","769"
"USC00081306","06-24","820","870","770"
"USC00081306","06-25","820","870","770"
"USC00081306","06-26","821","871","771"
"USC00081306","06-27","822","872","771"
"USC00081306","06-28","822","873","771"
"USC00081306","06-29","823","874","772"
"USC00081306","06-30","823","875","772"
