"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USC00081306","06-01","    82.4","    88.2","    76.5"
"USC00081306","06-02","    82.5","    88.4","    76.7"
"USC00081306","06-03","    82.6","    88.5","    76.8"
"USC00081306","06-04","    82.7","    88.6","    76.9"
"USC00081306","06-05","    82.9","    88.7","    77.0"
"USC00081306","06-06","    83.0","    88.8","    77.1"
"USC00081306","06-07","    83.1","    88.9","    77.3"
"USC00081306","06-08","    83.2","    89.0","    77.4"
"USC00081306","06-09","    83.3","    89.1","    77.5"
"USC00081306","06-10","    83.4","    89.2","    77.6"
"USC00081306","06-11","    83.5","    89.3","    77.7"
"USC00081306","06-12","    83.6","    89.4","    77.8"
"USC00081306","06-13","    83.7","    89.5","    77.9"
"USC00081306","06-14","    83.8","    89.6","    78.0"
"USC00081306","06-15","    83.9","    89.7","    78.1"
"USC00081306","06-16","    84.0","    89.8","    78.2"
"USC00081306","06-17","    84.1","    89.9","    78.3"
"USC00081306","06-18","    84.1","    89.9","    78.4"
"USC00081306","06-19","    84.2","    90.0","    78.4"
"USC00081306","06-20","    84.3","    90.1","    78.5"
"USC00081306","06-21","    84.3","    90.1","    78.6"
"USC00081306","06-22","    84.4","    90.2","    78.6"
"USC00081306","06-23","    84.5","    90.2","    78.7"
"USC00081306","06-24","    84.5","    90.3","    78.7"
"USC00081306","06-25","    84.5","    90.3","    78.8"
"USC00081306","06-26","    84.6","    90.4","    78.8"
"USC00081306","06-27","    84.6","    90.4","    78.9"
"USC00081306","06-28","    84.7","    90.4","    78.9"
"USC00081306","06-29","    84.7","    90.5","    78.9"
"USC00081306","06-30","    84.7","    90.5","    78.9"
