"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USC00081306","03-01","709","766","651"
"USC00081306","03-02","709","767","652"
"USC00081306","03-03","710","767","652"
"USC00081306","03-04","710","767","653"
"USC00081306","03-05","711","768","654"
"USC00081306","03-06","711","768","655"
"USC00081306","03-07","712","769","655"
"USC00081306","03-08","713","769","656"
"USC00081306","03-09","713","770","657"
"USC00081306","03-10","714","770","657"
"USC00081306","03-11","715","771","658"
"USC00081306","03-12","715","772","659"
"USC00081306","03-13","716","772","659"
"USC00081306","03-14","716","773","660"
"USC00081306","03-15","717","774","660"
"USC00081306","03-16","718","775","661"
"USC00081306","03-17","719","775","662"
"USC00081306","03-18","719","776","662"
"USC00081306","03-19","720","777","663"
"USC00081306","03-20","721","778","663"
"USC00081306","03-21","722","779","664"
"USC00081306","03-22","722","780","665"
"USC00081306","03-23","723","781","665"
"USC00081306","03-24","724","782","666"
"USC00081306","03-25","725","783","667"
"USC00081306","03-26","726","784","667"
"USC00081306","03-27","727","786","668"
"USC00081306","03-28","728","787","669"
"USC00081306","03-29","729","788","669"
"USC00081306","03-30","730","789","670"
"USC00081306","03-31","730","790","671"
