"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USC00081306","03-01","    72.9","    79.9","    65.9"
"USC00081306","03-02","    73.0","    79.9","    66.0"
"USC00081306","03-03","    73.0","    80.0","    66.0"
"USC00081306","03-04","    73.1","    80.0","    66.1"
"USC00081306","03-05","    73.1","    80.1","    66.2"
"USC00081306","03-06","    73.2","    80.2","    66.2"
"USC00081306","03-07","    73.2","    80.2","    66.3"
"USC00081306","03-08","    73.3","    80.3","    66.3"
"USC00081306","03-09","    73.4","    80.3","    66.4"
"USC00081306","03-10","    73.4","    80.4","    66.4"
"USC00081306","03-11","    73.5","    80.5","    66.5"
"USC00081306","03-12","    73.6","    80.5","    66.6"
"USC00081306","03-13","    73.6","    80.6","    66.7"
"USC00081306","03-14","    73.7","    80.7","    66.7"
"USC00081306","03-15","    73.8","    80.7","    66.8"
"USC00081306","03-16","    73.9","    80.8","    66.9"
"USC00081306","03-17","    73.9","    80.9","    67.0"
"USC00081306","03-18","    74.0","    81.0","    67.1"
"USC00081306","03-19","    74.1","    81.0","    67.2"
"USC00081306","03-20","    74.2","    81.1","    67.3"
"USC00081306","03-21","    74.3","    81.2","    67.4"
"USC00081306","03-22","    74.4","    81.3","    67.6"
"USC00081306","03-23","    74.5","    81.4","    67.7"
"USC00081306","03-24","    74.7","    81.5","    67.8"
"USC00081306","03-25","    74.8","    81.6","    68.0"
"USC00081306","03-26","    74.9","    81.7","    68.1"
"USC00081306","03-27","    75.0","    81.8","    68.3"
"USC00081306","03-28","    75.2","    81.9","    68.4"
"USC00081306","03-29","    75.3","    82.0","    68.6"
"USC00081306","03-30","    75.4","    82.1","    68.7"
"USC00081306","03-31","    75.6","    82.2","    68.9"
