"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USC00081306","05-01","767","821","713"
"USC00081306","05-02","769","822","715"
"USC00081306","05-03","770","823","717"
"USC00081306","05-04","771","824","719"
"USC00081306","05-05","773","825","721"
"USC00081306","05-06","774","825","723"
"USC00081306","05-07","775","826","724"
"USC00081306","05-08","777","827","726"
"USC00081306","05-09","778","828","728"
"USC00081306","05-10","779","829","730"
"USC00081306","05-11","780","829","731"
"USC00081306","05-12","782","830","733"
"USC00081306","05-13","783","831","735"
"USC00081306","05-14","784","832","736"
"USC00081306","05-15","785","833","738"
"USC00081306","05-16","787","834","740"
"USC00081306","05-17","788","835","741"
"USC00081306","05-18","789","835","743"
"USC00081306","05-19","790","836","744"
"USC00081306","05-20","791","837","745"
"USC00081306","05-21","792","838","747"
"USC00081306","05-22","794","839","748"
"USC00081306","05-23","795","840","749"
"USC00081306","05-24","796","841","750"
"USC00081306","05-25","797","842","752"
"USC00081306","05-26","798","843","753"
"USC00081306","05-27","799","844","754"
"USC00081306","05-28","800","845","755"
"USC00081306","05-29","801","846","756"
"USC00081306","05-30","802","847","757"
"USC00081306","05-31","803","848","757"
