"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USC00081306","05-01","    79.4","    85.2","    73.6"
"USC00081306","05-02","    79.5","    85.2","    73.7"
"USC00081306","05-03","    79.5","    85.3","    73.8"
"USC00081306","05-04","    79.6","    85.4","    73.8"
"USC00081306","05-05","    79.7","    85.5","    73.9"
"USC00081306","05-06","    79.8","    85.5","    74.0"
"USC00081306","05-07","    79.9","    85.6","    74.1"
"USC00081306","05-08","    79.9","    85.7","    74.2"
"USC00081306","05-09","    80.0","    85.8","    74.3"
"USC00081306","05-10","    80.1","    85.9","    74.3"
"USC00081306","05-11","    80.2","    85.9","    74.4"
"USC00081306","05-12","    80.3","    86.0","    74.5"
"USC00081306","05-13","    80.4","    86.1","    74.6"
"USC00081306","05-14","    80.4","    86.2","    74.7"
"USC00081306","05-15","    80.5","    86.3","    74.7"
"USC00081306","05-16","    80.6","    86.4","    74.8"
"USC00081306","05-17","    80.7","    86.5","    74.9"
"USC00081306","05-18","    80.8","    86.6","    75.0"
"USC00081306","05-19","    80.9","    86.7","    75.1"
"USC00081306","05-20","    81.0","    86.8","    75.2"
"USC00081306","05-21","    81.1","    86.9","    75.3"
"USC00081306","05-22","    81.2","    87.1","    75.4"
"USC00081306","05-23","    81.3","    87.2","    75.5"
"USC00081306","05-24","    81.4","    87.3","    75.6"
"USC00081306","05-25","    81.6","    87.4","    75.7"
"USC00081306","05-26","    81.7","    87.5","    75.8"
"USC00081306","05-27","    81.8","    87.6","    75.9"
"USC00081306","05-28","    81.9","    87.8","    76.1"
"USC00081306","05-29","    82.0","    87.9","    76.2"
"USC00081306","05-30","    82.1","    88.0","    76.3"
"USC00081306","05-31","    82.3","    88.1","    76.4"
