"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USC00081306","11-01","770","819","720"
"USC00081306","11-02","768","818","719"
"USC00081306","11-03","767","817","717"
"USC00081306","11-04","766","815","716"
"USC00081306","11-05","764","814","715"
"USC00081306","11-06","763","812","713"
"USC00081306","11-07","761","811","712"
"USC00081306","11-08","760","810","711"
"USC00081306","11-09","759","808","709"
"USC00081306","11-10","757","807","708"
"USC00081306","11-11","756","806","706"
"USC00081306","11-12","755","805","705"
"USC00081306","11-13","754","804","703"
"USC00081306","11-14","752","803","702"
"USC00081306","11-15","751","802","700"
"USC00081306","11-16","750","801","699"
"USC00081306","11-17","749","800","697"
"USC00081306","11-18","747","799","696"
"USC00081306","11-19","746","798","694"
"USC00081306","11-20","745","797","693"
"USC00081306","11-21","743","796","691"
"USC00081306","11-22","742","795","689"
"USC00081306","11-23","741","794","688"
"USC00081306","11-24","740","793","686"
"USC00081306","11-25","738","792","684"
"USC00081306","11-26","737","791","683"
"USC00081306","11-27","736","790","681"
"USC00081306","11-28","734","789","679"
"USC00081306","11-29","733","788","677"
"USC00081306","11-30","731","787","676"
