"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USC00081306","11-01","    79.0","    84.7","    73.4"
"USC00081306","11-02","    78.8","    84.5","    73.2"
"USC00081306","11-03","    78.7","    84.3","    73.0"
"USC00081306","11-04","    78.5","    84.2","    72.8"
"USC00081306","11-05","    78.3","    84.0","    72.6"
"USC00081306","11-06","    78.1","    83.9","    72.4"
"USC00081306","11-07","    78.0","    83.7","    72.2"
"USC00081306","11-08","    77.8","    83.6","    72.0"
"USC00081306","11-09","    77.6","    83.4","    71.8"
"USC00081306","11-10","    77.4","    83.3","    71.6"
"USC00081306","11-11","    77.3","    83.1","    71.4"
"USC00081306","11-12","    77.1","    83.0","    71.2"
"USC00081306","11-13","    77.0","    82.9","    71.0"
"USC00081306","11-14","    76.8","    82.8","    70.9"
"USC00081306","11-15","    76.7","    82.6","    70.7"
"USC00081306","11-16","    76.5","    82.5","    70.5"
"USC00081306","11-17","    76.4","    82.4","    70.3"
"USC00081306","11-18","    76.2","    82.3","    70.2"
"USC00081306","11-19","    76.1","    82.2","    70.0"
"USC00081306","11-20","    76.0","    82.1","    69.8"
"USC00081306","11-21","    75.8","    82.0","    69.7"
"USC00081306","11-22","    75.7","    81.9","    69.5"
"USC00081306","11-23","    75.6","    81.8","    69.4"
"USC00081306","11-24","    75.5","    81.7","    69.2"
"USC00081306","11-25","    75.3","    81.6","    69.1"
"USC00081306","11-26","    75.2","    81.5","    68.9"
"USC00081306","11-27","    75.1","    81.4","    68.8"
"USC00081306","11-28","    75.0","    81.3","    68.6"
"USC00081306","11-29","    74.9","    81.3","    68.5"
"USC00081306","11-30","    74.8","    81.2","    68.4"
