"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USC00081306","10-01","813","866","761"
"USC00081306","10-02","812","865","760"
"USC00081306","10-03","811","864","758"
"USC00081306","10-04","810","863","757"
"USC00081306","10-05","809","862","756"
"USC00081306","10-06","808","860","755"
"USC00081306","10-07","807","859","754"
"USC00081306","10-08","805","858","753"
"USC00081306","10-09","804","856","752"
"USC00081306","10-10","803","855","750"
"USC00081306","10-11","801","854","749"
"USC00081306","10-12","800","852","748"
"USC00081306","10-13","799","851","746"
"USC00081306","10-14","797","849","745"
"USC00081306","10-15","796","848","744"
"USC00081306","10-16","794","846","742"
"USC00081306","10-17","793","844","741"
"USC00081306","10-18","791","843","740"
"USC00081306","10-19","790","841","738"
"USC00081306","10-20","788","839","737"
"USC00081306","10-21","787","838","736"
"USC00081306","10-22","785","836","734"
"USC00081306","10-23","783","834","733"
"USC00081306","10-24","782","833","731"
"USC00081306","10-25","780","831","730"
"USC00081306","10-26","779","829","729"
"USC00081306","10-27","777","827","727"
"USC00081306","10-28","776","826","726"
"USC00081306","10-29","774","824","724"
"USC00081306","10-30","773","823","723"
"USC00081306","10-31","771","821","722"
