"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USC00081306","10-01","    83.5","    89.2","    77.9"
"USC00081306","10-02","    83.4","    89.1","    77.8"
"USC00081306","10-03","    83.4","    89.0","    77.8"
"USC00081306","10-04","    83.3","    88.9","    77.7"
"USC00081306","10-05","    83.2","    88.8","    77.6"
"USC00081306","10-06","    83.1","    88.6","    77.5"
"USC00081306","10-07","    83.0","    88.5","    77.4"
"USC00081306","10-08","    82.9","    88.4","    77.3"
"USC00081306","10-09","    82.7","    88.3","    77.2"
"USC00081306","10-10","    82.6","    88.2","    77.1"
"USC00081306","10-11","    82.5","    88.0","    77.0"
"USC00081306","10-12","    82.4","    87.9","    76.9"
"USC00081306","10-13","    82.2","    87.8","    76.7"
"USC00081306","10-14","    82.1","    87.6","    76.6"
"USC00081306","10-15","    82.0","    87.5","    76.5"
"USC00081306","10-16","    81.8","    87.3","    76.3"
"USC00081306","10-17","    81.7","    87.2","    76.2"
"USC00081306","10-18","    81.5","    87.0","    76.0"
"USC00081306","10-19","    81.3","    86.9","    75.8"
"USC00081306","10-20","    81.2","    86.7","    75.7"
"USC00081306","10-21","    81.0","    86.5","    75.5"
"USC00081306","10-22","    80.8","    86.4","    75.3"
"USC00081306","10-23","    80.7","    86.2","    75.1"
"USC00081306","10-24","    80.5","    86.0","    75.0"
"USC00081306","10-25","    80.3","    85.9","    74.8"
"USC00081306","10-26","    80.1","    85.7","    74.6"
"USC00081306","10-27","    80.0","    85.5","    74.4"
"USC00081306","10-28","    79.8","    85.4","    74.2"
"USC00081306","10-29","    79.6","    85.2","    74.0"
"USC00081306","10-30","    79.4","    85.0","    73.8"
"USC00081306","10-31","    79.2","    84.8","    73.6"
