"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USC00081306","09-01","828","881","775"
"USC00081306","09-02","828","881","775"
"USC00081306","09-03","827","881","774"
"USC00081306","09-04","827","880","774"
"USC00081306","09-05","827","880","774"
"USC00081306","09-06","827","879","774"
"USC00081306","09-07","826","879","774"
"USC00081306","09-08","826","878","773"
"USC00081306","09-09","826","878","773"
"USC00081306","09-10","825","878","773"
"USC00081306","09-11","825","877","773"
"USC00081306","09-12","825","877","772"
"USC00081306","09-13","824","876","772"
"USC00081306","09-14","824","876","772"
"USC00081306","09-15","823","876","771"
"USC00081306","09-16","823","875","771"
"USC00081306","09-17","823","875","770"
"USC00081306","09-18","822","874","770"
"USC00081306","09-19","822","874","769"
"USC00081306","09-20","821","873","769"
"USC00081306","09-21","821","873","768"
"USC00081306","09-22","820","872","768"
"USC00081306","09-23","819","872","767"
"USC00081306","09-24","819","871","766"
"USC00081306","09-25","818","871","766"
"USC00081306","09-26","817","870","765"
"USC00081306","09-27","817","869","764"
"USC00081306","09-28","816","868","763"
"USC00081306","09-29","815","868","762"
"USC00081306","09-30","814","867","761"
