"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USC00081306","09-01","    85.2","    91.1","    79.3"
"USC00081306","09-02","    85.2","    91.1","    79.3"
"USC00081306","09-03","    85.1","    91.1","    79.2"
"USC00081306","09-04","    85.1","    91.0","    79.2"
"USC00081306","09-05","    85.1","    91.0","    79.2"
"USC00081306","09-06","    85.0","    90.9","    79.1"
"USC00081306","09-07","    85.0","    90.9","    79.1"
"USC00081306","09-08","    84.9","    90.8","    79.0"
"USC00081306","09-09","    84.9","    90.7","    79.0"
"USC00081306","09-10","    84.8","    90.7","    79.0"
"USC00081306","09-11","    84.8","    90.6","    78.9"
"USC00081306","09-12","    84.7","    90.6","    78.9"
"USC00081306","09-13","    84.7","    90.5","    78.8"
"USC00081306","09-14","    84.6","    90.4","    78.8"
"USC00081306","09-15","    84.6","    90.4","    78.7"
"USC00081306","09-16","    84.5","    90.3","    78.7"
"USC00081306","09-17","    84.5","    90.3","    78.7"
"USC00081306","09-18","    84.4","    90.2","    78.6"
"USC00081306","09-19","    84.3","    90.1","    78.6"
"USC00081306","09-20","    84.3","    90.1","    78.5"
"USC00081306","09-21","    84.2","    90.0","    78.5"
"USC00081306","09-22","    84.2","    89.9","    78.4"
"USC00081306","09-23","    84.1","    89.8","    78.4"
"USC00081306","09-24","    84.0","    89.8","    78.3"
"USC00081306","09-25","    84.0","    89.7","    78.3"
"USC00081306","09-26","    83.9","    89.6","    78.2"
"USC00081306","09-27","    83.8","    89.5","    78.2"
"USC00081306","09-28","    83.8","    89.4","    78.1"
"USC00081306","09-29","    83.7","    89.3","    78.0"
"USC00081306","09-30","    83.6","    89.3","    78.0"
